container.title,created,doi,title,type,first.author,authors
Ecology,2021-07-16,10.1002/ecy.3473,An integrated path for spatial capture–recapture and animal movement modeling,journal-article,McClintock,"Brett T. McClintock, Briana Abrahms, Richard B. Chandler, Paul B. Conn, Sarah J. Converse, Robert L. Emmet, Beth Gardner, Nathan J. Hostetter, Devin S. Johnson"
Journal of Avian Biology,2020-09-25,10.1111/jav.02509,"Effects of back‐mounted biologgers on condition, diving and flight performance in a breeding seabird",journal-article,Evans,"Tom J. Evans, Rebecca C. Young, Hannah Watson, Olof Olsson, Susanne Åkesson"
YOUMARES 8 – Oceans Across Boundaries: Learning from each other,2018-08-30,10.1007/978-3-319-93284-2_7,Bio-telemetry as an Essential Tool in Movement Ecology and Marine Conservation,book-chapter,Heylen,"Brigitte C. Heylen, Dominik A. Nachtsheim"
Journal of Avian Biology,2020-01-10,10.1111/jav.02057,Coping with the commute: behavioural responses to wind conditions in a foraging seabird,journal-article,Collins,"Philip M. Collins, Jonathan A. Green, Kyle H. Elliott, Peter J. A. Shaw, Lorraine Chivers, Scott A. Hatch, Lewis G. Halsey"
Marine Ecology Progress Series,2020-04-24,10.3354/meps13344,Short-term responses of sperm whales Physeter macrocephalus to the attachment of suction cup tags,journal-article,Warren,"VE Warren, PJO Miller, PL Tyack"
Comprehensive Physiology,2021-07-01,10.1002/cphy.c200005,Field Physiology: Studying Organismal Function in the Natural Environment,other,Williams,"Cassondra L. Williams, Allyson G. Hindle"
Frontiers in Marine Science,2018-12-14,10.3389/fmars.2018.00464,View From Below: Inferring Behavior and Physiology of Southern Ocean Marine Predators From Dive Telemetry,journal-article,Roncon,"Giulia Roncon, Sophie Bestley, Clive R. McMahon, Barbara Wienecke, Mark A. Hindell"
Advanced Robotics,2018-12-05,10.1080/01691864.2018.1553686,Advances in bio-logging techniques and their application to study navigation in wild seabirds,journal-article,Yoda,Ken Yoda
"Ethology and Behavioral Ecology of Phocids,Ethology and Behavioral Ecology of Marine Mammals",2022-03-17,10.1007/978-3-030-88923-4_5,Habitat Utilization and Behavior of Phocid Seals in Relation to Oceanography,book-chapter,Hückstädt,"Luis A. Hückstädt, Ryan R. Reisinger"
Ocean Science Journal,2021-04-23,10.1007/s12601-021-00015-1,A Review: Marine Bio-logging of Animal Behaviour and Ocean Environments,journal-article,Chung,"Hyunjae Chung, Jongchan Lee, Won Young Lee"
Animal Biotelemetry,2021-07-01,10.1186/s40317-021-00245-z,Dead-reckoning animal movements in R: a reappraisal using Gundog.Tracks,journal-article,Gunner,"Richard M. Gunner, Mark D. Holton, Mike D. Scantlebury, O. Louis van Schalkwyk, Holly M. English, Hannah J. Williams, Phil Hopkins, Flavio Quintana, Agustina Gómez-Laich, Luca Börger, James Redcliffe, Ken Yoda, Takashi Yamamoto, Sam Ferreira, Danny Govender, Pauli Viljoen, Angela Bruns, Stephen H. Bell, Nikki J. Marks, Nigel C. Bennett, Mariano H. Tonini, Carlos M. Duarte, Martin C. van Rooyen, Mads F. Bertelsen, Craig J. Tambling, Rory P. Wilson"
Journal of Experimental Biology,2019-02-06,10.1242/jeb.184689,Using on-board sound recordings to infer behaviour of free-moving wild animals,journal-article,Greif,"Stefan Greif, Yossi Yovel"
"Ethology and Behavioral Ecology of Phocids,Ethology and Behavioral Ecology of Marine Mammals",2022-03-17,10.1007/978-3-030-88923-4_6,Foraging Ecology and Behavior,book-chapter,Don Bowen,"W. Don Bowen, Ian D. Jonsen"
Ibis,2022-04-22,10.1111/ibi.13068,"Non‐breeding distribution and at‐sea activity patterns of the smallest European seabird, the European Storm Petrel (
            <i>Hydrobates pelagicus</i>
            )",journal-article,Militão,"Teresa Militão, Ana Sanz‐Aguilar, Andreu Rotger, Raül Ramos"
Movement Ecology,2020-02-10,10.1186/s40462-020-0191-3,Active acoustic telemetry tracking and tri-axial accelerometers reveal fine-scale movement strategies of a non-obligate ram ventilator,journal-article,Meese,"Emily N. Meese, Christopher G. Lowe"
Journal of Experimental Biology,2021-07-07,10.1242/jeb.202747,Too big to study? The biologging approach to understanding the behavioural energetics of ocean giants,journal-article,Watanabe,"Yuuki Y. Watanabe, Jeremy A. Goldbogen"
Ardeola,2016-04-25,10.13157/arla.63.1.2016.rp5,Individual-Based Tracking Systems in Ornithology: Welcome to the Era of Big Data,journal-article,López-López,Pascual López-López
Animal Behaviour,2022-09-24,10.1016/j.anbehav.2022.07.014,Individual foraging site fidelity increases from incubation to nestling rearing in a colonial bird,journal-article,Ramellini,"Samuele Ramellini, Simona Imperio, Jennifer Morinay, Federico De Pascalis, Carlo Catoni, Michelangelo Morganti, Diego Rubolini, Jacopo G. Cecere"
Philosophical Transactions of the Royal Society B: Biological Sciences,2021-06-28,10.1098/rstb.2020.0230,Future trends in measuring physiology in free-living animals,journal-article,Williams,"H. J. Williams, J. Ryan Shipley, C. Rutz, M. Wikelski, M. Wilkes, L. A. Hawkes"
Marine Ecology Progress Series,2012-01-19,10.3354/meps09608,Technological innovation in archival tags used in seabird research,journal-article,Wilson,"RP Wilson, SP Vandenabeele"
Ecology and Evolution,2020-07-07,10.1002/ece3.6515,A new direction for differentiating animal activity based on measuring angular velocity about the yaw axis,journal-article,Gunner,"Richard M. Gunner, Rory P. Wilson, Mark D. Holton, Rebecca Scott, Phil Hopkins, Carlos M. Duarte"
Functional Ecology,2017-01-04,10.1111/1365-2435.12822,"Relationships grow with time: a note of caution about energy expenditure‐proxy correlations, focussing on accelerometry as an example",journal-article,Halsey,Lewis G. Halsey
Frontiers in Ecology and Evolution,2020-01-21,10.3389/fevo.2019.00504,Behavioral Biomarkers for Animal Health: A Case Study Using Animal-Attached Technology on Loggerhead Turtles,journal-article,Arkwright,"Alexandra C. Arkwright, Emma Archibald, Andreas Fahlman, Mark D. Holton, Jose Luis Crespo-Picazo, Vicente M. Cabedo, Carlos M. Duarte, Rebecca Scott, Sophie Webb, Richard M. Gunner, Rory P. Wilson"
Ecology and Evolution,2017-11-24,10.1002/ece3.3593,Search and foraging behaviors from movement data: A comparison of methods,journal-article,Bennison,"Ashley Bennison, Stuart Bearhop, Thomas W. Bodey, Stephen C. Votier, W. James Grecian, Ewan D. Wakefield, Keith C. Hamer, Mark Jessopp"
"Estuarine, Coastal and Shelf Science",2022-09-30,10.1016/j.ecss.2022.108089,Fishing activities shape the flight behaviour of an opportunistic predator species,journal-article,Ouled-Cheikh,"Jazel Ouled-Cheikh, Francisco Ramírez, Moisès Sánchez-Fortún, Augusto Cortejana, Carola Sanpera, Josep Lluís Carrasco"
Journal of Animal Ecology,2020-01-13,10.1111/1365-2656.13163,Biologging Special Feature,journal-article,Börger,"Luca Börger, Allert I. Bijleveld, Annette L. Fayet, Gabriel E. Machovsky‐Capuska, Samantha C. Patrick, Garrett M. Street, Eric Vander Wal"
Animal Biotelemetry,2019-10-04,10.1186/s40317-019-0182-6,Best practice recommendations for the use of external telemetry devices on pinnipeds,journal-article,Horning,"Markus Horning, Russel D. Andrews, Amanda M. Bishop, Peter L. Boveng, Daniel P. Costa, Daniel E. Crocker, Martin Haulena, Mark Hindell, Allyson G. Hindle, Rachel R. Holser, Sascha K. Hooker, Luis A. Hückstädt, Shawn Johnson, Mary-Anne Lea, Birgitte I. McDonald, Clive R. McMahon, Patrick W. Robinson, Renae L. Sattler, Courtney R. Shuert, Sheanna M. Steingass, Dave Thompson, Pamela A. Tuomi, Cassondra L. Williams, Jamie N. Womble"
Frontiers in Ecology and Evolution,2020-06-10,10.3389/fevo.2020.00169,Integrative Framework for Long-Term Activity Monitoring of Small and Secretive Animals: Validation With a Cryptic Pitviper,journal-article,DeSantis,"Dominic L. DeSantis, Vicente Mata-Silva, Jerry D. Johnson, Amy E. Wagler"
Frontiers in Ecology and Evolution,2020-09-11,10.3389/fevo.2020.555509,Thermoregulatory Strategies of Diving Air-Breathing Marine Vertebrates: A Review,journal-article,Favilla,"Arina B. Favilla, Daniel P. Costa"
NA,2020-08-14,10.1101/2020.08.13.249151,Why did the animal turn? Time-varying step selection analysis for inference between observed turning points in high frequency data,posted-content,Munden,"Rhys Munden, Luca Börger, Rory P. Wilson, James Redcliffe, Rowan Brown, Mathieu Garel, Jonathan R. Potts"
Animal Biotelemetry,2019-08-23,10.1186/s40317-019-0175-5,Deep learning accurately predicts white shark locomotor activity from depth data,journal-article,Liu,"Zac Yung-Chun Liu, Jerry H. Moxley, Paul Kanive, Adrian C. Gleiss, Thom Maughan, Larry Bird, Oliver J. D. Jewell, Taylor K. Chapple, Tyler Gagne, Connor F. White, Salvador J. Jorgensen"
Ecology,2022-05-28,10.1002/ecy.3772,Modeling spatiotemporal abundance and movement dynamics using an integrated spatial capture–recapture movement model,journal-article,Hostetter,"Nathan J. Hostetter, Eric V. Regehr, Ryan R. Wilson, J. Andrew Royle, Sarah J. Converse"
"Ethology and Behavioral Ecology of Phocids,Ethology and Behavioral Ecology of Marine Mammals",2022-03-17,10.1007/978-3-030-88923-4_11,The Elephant Seal: Linking Phenotypic Variation with Behavior and Fitness in a Sexually Dimorphic Phocid,book-chapter,Beltran,"Roxanne S. Beltran, Mark A. Hindell, Clive R. McMahon"
Spatial Statistics,2019-12-31,10.1016/j.spasta.2019.100406,Animal movement models with mechanistic selection functions,journal-article,Hooten,"Mevin B. Hooten, Xinyi Lu, Martha J. Garlick, James A. Powell"
NA,2012-06-19,10.1017/cbo9780511840906,Vertebrate Ecophysiology,monograph,Bradshaw,Don Bradshaw
NA,2019-10-26,10.1101/819763,A hierarchical framework for segmenting movement paths,posted-content,Getz,Wayne M. Getz
Canadian Journal of Fisheries and Aquatic Sciences,2020-09-08,10.1139/cjfas-2020-0032,Simulated instream restoration structures offer smallmouth bass (<i>Micropterus dolomieu</i>) swimming and energetic advantages at high flow velocities,journal-article,Strailey,"Katherine K. Strailey, Ryan T. Osborn, Rafael O. Tinoco, Piotr Cienciala, Bruce L. Rhoads, Cory D. Suski"
Movement Ecology,2021-02-22,10.1186/s40462-021-00243-z,Hidden Markov models identify major movement modes in accelerometer and magnetometer data from four albatross species,journal-article,Conners,"Melinda G. Conners, Théo Michelot, Eleanor I. Heywood, Rachael A. Orben, Richard A. Phillips, Alexei L. Vyssotski, Scott A. Shaffer, Lesley H. Thorne"
Marine Ecology Progress Series,2020-04-28,10.3354/meps13346,Daily and seasonal movements of Cape Cod gray seals vary with predation risk,journal-article,Moxley,"JH Moxley, G Skomal, J Chisholm, P Halpin, DW Johnston"
Tools for Oceanography and Ecosystemic Modeling,2016-07-18,10.1002/9781119330226.ch5,"“Bio‐logging” as a Tool to Study and Monitor Marine Ecosystems, or How to Spy on Sea Creatures",other,Tremblay,"Yann Tremblay, Sophie Bertrand"
Ecosphere,2021-06-09,10.1002/ecs2.3565,Quantifying behavior and life‐history events of an Arctic ungulate from year‐long continuous accelerometer data,journal-article,Chimienti,"Marianna Chimienti, Floris M. Beest, Larissa T. Beumer, Jean‐Pierre Desforges, Lars H. Hansen, Mikkel Stelvig, Niels Martin Schmidt"
