PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
35177194,Predictors of Left Main Coronary Artery Disease in the ISCHEMIA Trial,"Senior R, Reynolds HR, Min JK, Berman DS, Picard MH, Chaitman BR, Shaw LJ, Page CB, Govindan SC, Lopez-Sendon J, Peteiro J, Wander GS, Drozdz J, Marin-Neto J, Selvanayagam JB, Newman JD, Thuaire C, Christopher J, Jang JJ, Kwong RY, Bangalore S, Stone GW, O'Brien SM, Boden WE, Maron DJ, Hochman JS; ISCHEMIA Research Group.",J Am Coll Cardiol. 2022 Feb 22;79(7):651-661. doi: 10.1016/j.jacc.2021.11.052.,Senior R,J Am Coll Cardiol,2022,2/18/22,PMC8875308,NIHMS1767313,10.1016/j.jacc.2021.11.052
10308309,Telephone biotelemetry,Suthasinekul S.,J Clin Eng. 1978 Apr-Jun;3(2):137-44. doi: 10.1097/00004669-197804000-00006.,Suthasinekul S,J Clin Eng,1978,3/13/78,,,10.1097/00004669-197804000-00006
11993572,Theory and applications of biotelemetry,"Güler NF, Ubeyli ED.",J Med Syst. 2002 Apr;26(2):159-78. doi: 10.1023/a:1014862027454.,Güler NF,J Med Syst,2002,5/8/02,,,10.1023/a:1014862027454
36476396,What has biotelemetry ever done for avian translocations?,"Lee SCR, Hodgson DJ, Bearhop S.",Mov Ecol. 2022 Dec 7;10(1):57. doi: 10.1186/s40462-022-00359-w.,Lee SCR,Mov Ecol,2022,12/8/22,PMC9727958,,10.1186/s40462-022-00359-w
35258454,Accelerometer-based analyses of animal sleep patterns,"Watanabe YY, Rutz C.",Elife. 2022 Mar 8;11:e77349. doi: 10.7554/eLife.77349.,Watanabe YY,Elife,2022,3/8/22,PMC8903825,,10.7554/eLife.77349
34563403,Global trends in aquatic animal tracking with acoustic telemetry,"Matley JK, Klinard NV, Barbosa Martins AP, Aarestrup K, Aspillaga E, Cooke SJ, Cowley PD, Heupel MR, Lowe CG, Lowerre-Barbieri SK, Mitamura H, Moore JS, Simpfendorfer CA, Stokesbury MJW, Taylor MD, Thorstad EB, Vandergoot CS, Fisk AT.",Trends Ecol Evol. 2022 Jan;37(1):79-94. doi: 10.1016/j.tree.2021.09.001. Epub 2021 Sep 23.,Matley JK,Trends Ecol Evol,2022,9/26/21,,,10.1016/j.tree.2021.09.001
34270348,"Randomized Phase II Trial of MIBG Versus MIBG, Vincristine, and Irinotecan Versus MIBG and Vorinostat for Patients With Relapsed or Refractory Neuroblastoma: A Report From NANT Consortium","DuBois SG, Granger MM, Groshen S, Tsao-Wei D, Ji L, Shamirian A, Czarnecki S, Goodarzian F, Berkovich R, Shimada H, Villablanca JG, Vo KT, Pinto N, Mosse YP, Maris JM, Shusterman S, Cohn SL, Goldsmith KC, Weiss B, Yanik GA, Twist CJ, Irwin MS, Haas-Kogan DA, Park JR, Marachelian A, Matthay KK.",J Clin Oncol. 2021 Nov 1;39(31):3506-3514. doi: 10.1200/JCO.21.00703. Epub 2021 Jul 16.,DuBois SG,J Clin Oncol,2021,7/16/21,PMC8547934,,10.1200/JCO.21.00703
33748769,Sub-Nanowatt Ultrasonic Bio-Telemetry Using B-Scan Imaging,"Kondapalli SH, Chakrabartty S.",IEEE Open J Eng Med Biol. 2021;2:17-25. doi: 10.1109/ojemb.2021.3053174. Epub 2021 Jan 20.,Kondapalli SH,IEEE Open J Eng Med Biol,2021,3/22/21,PMC7978362,NIHMS1672609,10.1109/ojemb.2021.3053174
23856617,Reality mining of animal social systems,"Krause J, Krause S, Arlinghaus R, Psorakis I, Roberts S, Rutz C.",Trends Ecol Evol. 2013 Sep;28(9):541-51. doi: 10.1016/j.tree.2013.06.002. Epub 2013 Jul 13.,Krause J,Trends Ecol Evol,2013,7/17/13,,,10.1016/j.tree.2013.06.002
36294795,A Review of Digital Health and Biotelemetry: Modern Approaches towards Personalized Medicine and Remote Health Assessment,"Busnatu ȘS, Niculescu AG, Bolocan A, Andronic O, Pantea Stoian AM, Scafa-Udriște A, Stănescu AMA, Păduraru DN, Nicolescu MI, Grumezescu AM, Jinga V.",J Pers Med. 2022 Oct 5;12(10):1656. doi: 10.3390/jpm12101656.,Busnatu ȘS,J Pers Med,2022,10/27/22,PMC9604784,,10.3390/jpm12101656
22163863,Recent advances in neural recording microsystems,Gosselin B.,Sensors (Basel). 2011;11(5):4572-97. doi: 10.3390/s110504572. Epub 2011 Apr 27.,Gosselin B,Sensors (Basel),2011,12/14/11,PMC3231370,,10.3390/s110504572
18956161,[Telemetry in the clinical setting],"Hilbel T, Helms TM, Mikus G, Katus HA, Zugck C.",Herzschrittmacherther Elektrophysiol. 2008 Sep;19(3):146-54. doi: 10.1007/s00399-008-0017-2. Epub 2008 Oct 25.,Hilbel T,Herzschrittmacherther Elektrophysiol,2008,10/29/08,,,10.1007/s00399-008-0017-2
